id,genero_inscriptor,localidad,id_provincia,provincia,region,sector,rubro,sub_rubro,tipo_de_emprendimiento,etapa_de_desarrollo_del_proyecto,monto_otorgado
1,Femenino,General Pueyrredon,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Funcional sin Ingresos,210350
2,Femenino,Tafi Viejo,90,Tucuman,Noroeste,Industria manufacturera,"Fabricacion de hilados y tejidos, acabado de productos textiles","Fabricacion de hilados textiles de lana, pelos y sus mezclas",Producto,Funcional con Ingresos,133737
3,Masculino,Tafi Viejo,90,Tucuman,Noroeste,Industria manufacturera,"Fabricacion de productos de madera, corcho, paja y materiales trenzables",Fabricacion de recipientes de madera,Producto,Funcional con Ingresos,183600
4,Masculino,Corrientes,18,Corrientes,Noreste,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Funcional con Ingresos,249251
5,Femenino,Alderetes,90,Tucuman,Noroeste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de ropa de trabajo, uniformes y guardapolvos",Producto,Funcional con Ingresos,232820
6,Femenino,General Alvarado,6,Buenos Aires,Pampeana,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Producto,Funcional con Ingresos,45800
7,Masculino,Villa Angela,22,Chaco,Noreste,"Agricultura, ganaderia, caza, silvicultura y pesca",Produccion de semillas y de otras formas de propagacion de cultivos agricolas,"Produccion de otras formas de propagacion de cultivos agricolas (incluye gajos, bulbos, estacas enraizadas o no, esquejes, plantines, etc.)",Producto,Prototipo en Desarrollo,198098
8,Femenino,Yerba Buena,90,Tucuman,Noroeste,Industria manufacturera,Curtido y terminacion de cueros; fabricacion de articulos de marroquineria y talabarteria,"Fabricacion de maletas, bolsos de mano y similares, articulos de talabarteria y articulos de cuero n.c.p.",Producto,Funcional con Ingresos,194500
9,Masculino,San Miguel de Tucuman,90,Tucuman,Noroeste,Industria manufacturera,"Fabricacion de productos de madera, corcho, paja y materiales trenzables",Fabricacion de viviendas prefabricadas de madera,Producto,Funcional con Ingresos,167000
10,Femenino,General San Martin,22,Chaco,Noreste,Servicios de alojamiento y servicios de comida,Servicios de expendio de comidas y bebidas,"Servicios de expendio de bebidas en bares (incluye: bares, cervecerias, pubs, cafeterias)",Producto,Prototipo en Desarrollo,209709
11,Femenino,Las Talitas,90,Tucuman,Noroeste,Industria manufacturera,"Fabricacion de productos de madera, corcho, paja y materiales trenzables",Fabricacion de articulos de madera en tornerias,Producto,Funcional con Ingresos,186590
12,Masculino,Barranqueras,22,Chaco,Noreste,Industria manufacturera,Fabricacion de muebles y colchones,"Fabricacion de muebles y partes de muebles, principalmente de madera",Producto,Funcional con Ingresos,236513
13,Masculino,Esquel,26,Chubut,Patagonia,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas,"Mantenimiento y reparacion de vehiculos automotores, excepto motocicletas","Reparacion de amortiguadores, alineacion de direccion y balanceo de ruedas",Servicio,Prototipo en Desarrollo,249949
14,Masculino,Vicente Lopez,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos de panaderia n.c.p. (incluye la elaboracion de pan, facturas, churros, pre-pizzas, masas de hojaldre, masas fritas, tortas, tartas, etc) (no incluye la fabricacion de sandwich 561040)",Producto,Funcional sin Ingresos,71658
15,Masculino,Cordoba,14,Cordoba,Pampeana,Actividades administrativas y servicios de apoyo,Servicios de apoyo a la administracion de oficinas y empresas,"Servicios de fotocopiado, preparacion de documentos y otros servicios de apoyo de oficina",Servicio,Concepto / Idea ,249335
16,Femenino,Esperanza,82,Santa Fe,Pampeana,Industria manufacturera,Curtido y terminacion de cueros; fabricacion de articulos de marroquineria y talabarteria,"Fabricacion de maletas, bolsos de mano y similares, articulos de talabarteria y articulos de cuero n.c.p.",Producto,Funcional sin Ingresos,249035
17,Masculino,La Plata,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de componentes electronicos,Fabricacion de componentes electronicos,Producto,Concepto / Idea ,245075
18,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Informacion y comunicaciones,Servicios de programacion y consultoria informatica y actividades conexas,Servicios de informatica n.c.p.,Producto,Funcional con Ingresos,209800
19,Femenino,Tigre,6,Buenos Aires,Pampeana,Industria manufacturera,Reparacion y mantenimiento de maquinas y equipo,Reparacion y mantenimiento de maquinaria de uso especial n.c.p.,Producto,Escalabilidad,249983
20,Femenino,La Matanza,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion industrial de productos de panaderia, excepto galletitas y bizcochos (incluye la elaboracion de productos de panaderia frescos, congelados y secos)",Servicio,Funcional con Ingresos,249849
21,Femenino,Godoy Cruz,50,Mendoza,Cuyo,Salud humana y servicios sociales,"Servicios de practicas de diagnostico y tratamiento; servicios integrados de consulta, diagnostico y tratamiento","Servicios de practicas de diagnostico en laboratorios (incluye analisis clinicos, bioquimica, anatomia patologica, laboratorio hematologico, etc.)",Producto,Funcional sin Ingresos,250000
22,Masculino,Cordoba,14,Cordoba,Pampeana,Informacion y comunicaciones,"Procesamiento de datos, hospedaje y actividades conexas, portales <U+0093>web<U+0094>",Actividades conexas al procesamiento y hospedaje de datos n.c.p.,Producto,Prototipo en Desarrollo,230596
23,Masculino,Lujan de Cuyo,50,Mendoza,Cuyo,Industria manufacturera,Fabricacion de productos elaborados de metal n.c.p.; servicios de trabajo de metales,Fabricacion de productos elaborados de metal n.c.p.,Producto,Prototipo en Desarrollo,240000
